Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2010,283.5,286.5,277.7,279.05,281.7522342,240356,3285,67720840,71479,29.74,8.8,-4.45
2-June-2010,280,284.95,278.6,283.7,282.1843463,161316,2729,45520850,20358,12.62,6.35,3.7
3-June-2010,285.1,297.15,284.55,295.5,292.6330199,599076,8301,175309419,129463,21.61,12.6,10.4
4-June-2010,296,299.5,290.6,292.2,295.0675446,965807,12453,284978300,236591,24.5,8.9,-3.8
7-June-2010,283,288.2,281.05,286.15,285.337724,309066,4243,88188189,49862,16.13,7.15,3.15
8-June-2010,287.5,293.25,281,282.5,288.0926131,585047,6322,168547719,143687,24.56,12.25,-5
9-June-2010,283,286.25,274.5,279.3,280.6971707,534377,5834,149998112,102150,19.12,11.75,-3.7
10-June-2010,280.55,283,275.5,281.55,279.8132581,538781,6116,150758067,168384,31.25,7.5,1
11-June-2010,284.9,290.2,282.6,287.2,285.9429345,620866,6704,177532246,246752,39.74,7.6,2.3
14-June-2010,288.6,289.5,284.1,286.85,287.0638207,177560,2754,50971052,47095,26.52,5.4,-1.75
15-June-2010,288,288,280.5,283.75,283.1155494,198426,3375,56177486,42992,21.67,7.5,-4.25
16-June-2010,285,288.5,282,282.7,285.2380695,162755,2992,46423922,41330,25.39,6.5,-2.3
17-June-2010,281,285.85,279.1,284.05,282.612287,346545,3654,97937875,155907,44.99,6.75,3.05
18-June-2010,283,286.9,278,279.05,283.4045067,648501,2488,183788106,554998,85.58,8.9,-3.95
21-June-2010,285,286,280.55,281.7,282.6637718,125394,1979,35444341,44398,35.41,5.45,-3.3
22-June-2010,278,278,263,271.8,265.1315588,41939642,32071,11119522658,31080074,74.11,15,-6.2
23-June-2010,272,278.35,271,276.85,275.5180241,555588,6646,153074508,135610,24.41,7.35,4.85
24-June-2010,277,277.8,270.25,271.45,274.8082978,850319,4385,233674717,600038,70.57,7.55,-5.55
25-June-2010,271,274.35,268,272.05,273.2278634,348845,2890,95314174,211490,60.63,6.35,1.05
28-June-2010,268.15,273.8,268.15,272.35,271.1250359,292428,3055,79284552,118245,40.44,5.65,4.2
29-June-2010,272.85,272.85,266.5,267.6,268.9934998,190918,3128,51355701,76343,39.99,6.35,-5.25
30-June-2010,265.6,270,264,269.15,267.352887,273436,4239,73103904,135666,49.62,6,3.55
1-July-2010,267.75,270.9,265.1,269.45,267.977269,195328,2940,52343464,64438,32.99,5.8,1.7
2-July-2010,270.05,273.9,266.1,268.65,270.6596995,212233,3149,57442920,49613,23.38,7.8,-1.4
5-July-2010,267,270.45,267,268.45,268.6476173,88472,1462,23767792,34000,38.43,3.45,1.45
6-July-2010,268.85,279,268.5,276.3,275.1181107,498092,5557,137034130,177622,35.66,10.5,7.45
7-July-2010,277.7,277.7,269,270.5,272.1572731,193892,4429,52769118,59364,30.62,8.7,-7.2
8-July-2010,273.5,276.75,272.6,275.75,274.9829064,268580,4038,73854909,109271,40.68,4.15,2.25
9-July-2010,276.5,286.4,276.5,285.7,283.4599786,685021,6295,194176038,363725,53.1,9.9,9.2
12-July-2010,287.65,290.9,284.1,285.45,286.9716236,193647,2813,55571194,61088,31.55,6.8,-2.2
13-July-2010,286.45,289.35,284.4,287.4,286.7548391,138921,2260,39836269,45292,32.6,4.95,0.95
14-July-2010,294.9,294.9,283.15,284.5,288.903133,210691,3002,60869290,69499,32.99,11.75,-10.4
15-July-2010,286.3,288.5,284.55,286.4,286.4655846,117985,1835,33798642,32145,27.24,3.95,0.1
16-July-2010,288,300,287,299.05,295.2560005,734940,9567,216995445,234303,31.88,13,11.05
19-July-2010,296.05,303,294.95,298.55,299.4173926,340823,4556,102048334,90349,26.51,8.05,2.5
20-July-2010,301.7,301.9,296,297.3,299.6465074,259980,3710,77902099,93602,36,5.9,-4.4
21-July-2010,301.8,304.7,291.25,297.7,299.2840323,1614010,18289,483047421,272093,16.86,13.45,-4.1
22-July-2010,298,303,295.6,298.15,299.807834,513431,6159,153930636,87823,17.11,7.4,0.15
23-July-2010,300,304.45,298.7,301.95,301.568305,488002,5248,147165936,185489,38.01,5.75,1.95
26-July-2010,302,303.8,296.25,298.65,298.7723516,152920,1855,45688268,55562,36.33,7.55,-3.35
27-July-2010,300.1,302.65,298.6,299.65,300.540383,239160,2412,71877238,83271,34.82,4.05,-0.45
28-July-2010,300,300.45,289.55,291.9,292.7166555,413232,3495,120959889,257694,62.36,10.9,-8.1
29-July-2010,293,295,290.25,292.3,292.6831343,188916,2884,55292527,49261,26.08,4.75,-0.7
30-July-2010,292,299.15,292,294.95,295.9897832,182934,3271,54146595,53606,29.3,7.15,2.95
2-August-2010,297,307.5,296.5,305.2,302.9193462,477597,5503,144673371,172925,36.21,11,8.2
3-August-2010,308,311.7,307.1,309,309.559454,401327,5790,124234567,106927,26.64,4.6,1
4-August-2010,311,311.1,302,304.2,306.3333365,209791,3817,64265977,57876,27.59,9.1,-6.8
5-August-2010,305,305,298,299.3,301.0805654,255457,3432,76913138,94761,37.09,7,-5.7
6-August-2010,300,303.75,295.05,296.35,299.7803691,225970,3510,67741370,106030,46.92,8.7,-3.65
9-August-2010,297.95,305.75,297.55,304.95,302.4289757,262903,3832,79509485,102190,38.87,8.2,7
10-August-2010,305.9,309,302.05,302.8,305.5546331,245355,4038,74969357,88165,35.93,6.95,-3.1
11-August-2010,303,305.6,300.05,301,302.2577928,101279,2027,30612367,47154,46.56,5.55,-2
12-August-2010,298,308.2,296.6,305.8,304.0801996,315438,5105,95918450,117520,37.26,11.6,7.8
13-August-2010,306,329.4,298.55,320.4,315.3504384,789962,10203,249114863,319949,40.5,30.85,14.4
16-August-2010,321,325,315.25,318.65,319.7438744,290381,5252,92847546,111957,38.56,9.75,-2.35
17-August-2010,320,329.5,318.25,327.7,324.0666775,659698,7095,213786139,310922,47.13,11.25,7.7
18-August-2010,330,331.7,323.35,327.9,326.8328638,456508,4352,149201817,232181,50.86,8.35,-2.1
19-August-2010,328.5,344.4,322.8,342.95,337.3300215,742691,9968,250531971,316290,42.59,21.6,14.45
20-August-2010,340,344,331,332.15,334.0386978,757820,5993,253141206,538213,71.02,13,-7.85
23-August-2010,333,337,328.25,332.55,333.182016,233397,3682,77763683,42633,18.27,8.75,-0.45
24-August-2010,333,333.5,325.3,328.55,328.5515253,196486,3886,64555775,84648,43.08,8.2,-4.45
25-August-2010,326,333.45,322.5,328,327.8663765,211123,4034,69220133,83005,39.32,10.95,2
26-August-2010,327.1,332,325,326.2,328.7767465,165059,2917,54267561,67117,40.66,7,-0.9
27-August-2010,326,329.45,320,323.4,325.2002923,197057,3257,64082994,104641,53.1,9.45,-2.6
30-August-2010,325.9,327.45,313.6,317.2,319.1615356,138632,2784,44246002,40792,29.42,13.85,-8.7
31-August-2010,315,315,303,311.1,308.3706611,255681,4679,78844519,85145,33.3,12,-3.9
1-September-2010,314,321.7,312.55,320.1,317.2410376,160058,2762,50776966,42530,26.57,9.15,6.1
2-September-2010,323.7,324,316.2,317.95,319.9058804,160328,2641,51289870,52846,32.96,7.8,-5.75
3-September-2010,319.45,321.3,315,318.6,318.5054638,111278,1846,35442651,23749,21.34,6.3,-0.85
6-September-2010,320,327.6,320,322.45,324.0875436,198918,2822,64466846,65027,32.69,7.6,2.45
7-September-2010,324.4,324.5,316.2,317.35,319.7183948,145324,2186,46462756,56287,38.73,8.3,-7.05
8-September-2010,315,319.5,314,317.6,317.1848219,122848,3163,38965521,44105,35.9,5.5,2.6
9-September-2010,318.1,323.85,318.1,320.65,320.705249,264508,2382,84829104,152422,57.62,5.75,2.55
13-September-2010,323.95,332.8,322.55,329.9,329.0221084,397723,5911,130859660,130214,32.74,10.25,5.95
14-September-2010,332,335.2,325.75,328.9,330.3874558,449912,5103,148645281,210118,46.7,9.45,-3.1
15-September-2010,330,337.4,326.25,327.45,332.0895643,426822,6198,141743132,141399,33.13,11.15,-2.55
